gene_id,HA_1,HA_2,HA_3,KO_1,KO_2,KO_3,WT_1,WT_2,WT_3
ENSG00000223972.5,0,0,0,0,0,0,0,0,0
ENSG00000243485.5,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0
ENSG00000186092.5,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,0,3,0,0,0,3
ENSG00000239945.1,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,0,0,0,0,0,0,0,0,0
ENSG00000268903.1,0,0,0,0,0,0,0,1,0
ENSG00000269981.1,0,0,2,0,4,2,0,3,3
ENSG00000239906.1,0,0,0,0,0,0,0,0,0
ENSG00000241860.6,9,3,12,10,23,9,7,4,3
ENSG00000222623.1,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,0,0,3,0,1,3,0,0,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0
ENSG00000237094.12,95,98,93,87,109,96,69,43,81
ENSG00000269732.1,0,0,0,0,0,0,0,0,0
ENSG00000284733.1,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,0,0,0,0,0,0
ENSG00000278757.1,0,0,0,0,0,0,0,0,0
ENSG00000230021.9,1,4,17,10,4,2,1,19,18
ENSG00000235146.2,0,0,0,0,0,0,0,0,0
ENSG00000278791.1,0,1,1,1,1,1,0,1,1
ENSG00000268663.1,0,0,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0,0,0
ENSG00000228327.3,145,150,132,171,107,139,294,184,201
ENSG00000237491.8,41,38,68,52,35,45,63,53,67
ENSG00000177757.2,0,0,0,0,0,0,0,0,0
ENSG00000228794.8,776,652,1035,725,846,897,1566,1211,1263
ENSG00000227232.5,128,107,224,132,129,145,137,159,154
ENSG00000278267.1,22,14,29,14,18,22,24,22,24
ENSG00000268020.3,1,0,0,0,0,1,0,0,0
ENSG00000240361.2,2,0,2,0,0,0,0,5,0
ENSG00000279928.2,9,10,0,13,9,0,0,14,7
ENSG00000279457.4,158,123,159,99,129,112,153,153,163
ENSG00000273874.1,1,0,0,1,1,1,3,2,1
ENSG00000228463.10,74,46,77,72,53,62,43,41,31
ENSG00000250575.1,4,2,1,3,0,2,3,3,3
ENSG00000225972.1,52,51,73,39,40,45,71,14,68
ENSG00000225630.1,767,572,774,754,587,767,720,479,489
ENSG00000237973.1,1959,1909,3199,1928,1827,2262,2532,1843,1929
ENSG00000229344.1,378,138,418,176,273,395,449,345,395
ENSG00000240409.1,270,59,340,382,273,361,71,195,230
ENSG00000248527.1,39820,38063,60881,46573,43706,52893,47904,35315,36768
ENSG00000198744.5,335,252,403,338,255,370,425,232,238
ENSG00000223181.1,1,0,0,0,0,0,0,0,0
ENSG00000230092.7,18,11,19,13,13,13,37,15,18
ENSG00000225880.5,38,57,90,49,41,65,102,76,90
ENSG00000187608.8,363,358,533,377,336,470,688,756,533
ENSG00000231702.2,0,0,0,0,0,0,0,0,0
ENSG00000224969.1,0,1,0,0,0,0,0,2,1
ENSG00000187634.11,1744,1688,2291,1315,1549,1384,1829,1346,1091
ENSG00000187583.10,80,66,87,79,62,79,365,271,277
ENSG00000187642.9,6,30,16,17,27,13,38,33,31
ENSG00000272438.1,25,37,35,19,21,16,31,31,29
ENSG00000230699.2,305,211,219,192,133,166,288,199,172
ENSG00000241180.1,2,2,2,6,0,3,3,1,3
ENSG00000223764.2,672,703,816,491,524,425,929,887,628
ENSG00000188976.10,5107,3583,5416,5043,3801,4651,12810,8628,9409
ENSG00000187961.13,1490,1264,2038,1296,1157,1573,3498,3061,2943
ENSG00000217801.9,220,171,342,124,168,192,271,349,379
ENSG00000273443.1,6,10,8,10,11,7,9,10,15
ENSG00000186891.13,0,7,2,0,0,3,14,8,0
ENSG00000186827.10,5,2,8,8,5,0,12,5,0
ENSG00000131591.17,955,803,1201,733,783,871,1757,1580,1352
ENSG00000184163.3,370,540,315,207,213,128,734,654,386
ENSG00000260179.1,2,3,7,2,0,0,9,16,11
ENSG00000188157.14,37753,32412,45210,36841,37622,38491,99925,85615,76305
ENSG00000242590.1,1,1,2,1,1,1,2,2,2
ENSG00000078808.16,6554,7020,9865,5992,6758,6978,13792,13556,12195
ENSG00000176022.4,978,1153,1225,752,848,716,2042,2041,1679
ENSG00000160087.20,2312,2272,2891,2051,2259,2241,5042,4728,4291
ENSG00000162572.20,325,282,354,231,194,208,392,275,227
ENSG00000230415.1,37,51,42,19,26,30,43,36,28
ENSG00000169962.4,12,27,19,4,27,12,15,27,0
ENSG00000107404.19,4696,3633,6309,6129,5585,8104,10909,9802,10817
ENSG00000284372.1,1,1,1,1,1,1,1,1,1
ENSG00000162576.16,3518,2560,4474,3453,2778,3990,7642,4261,5550
ENSG00000127054.20,3093,2567,4121,2616,2360,2846,7016,5965,5678
ENSG00000131584.18,2760,2226,3676,2231,2025,2627,5826,4669,4315
ENSG00000278073.1,1,1,0,0,2,0,1,1,2
ENSG00000169972.11,468,372,558,373,317,435,1276,846,841
ENSG00000283712.1,1,1,1,1,1,1,1,1,1
ENSG00000240731.1,75,89,107,81,83,80,221,216,190
ENSG00000224051.6,1087,1044,1698,1076,1069,1290,2370,2289,2136
ENSG00000223663.2,1,0,0,0,0,0,0,0,0
ENSG00000175756.13,3154,2792,4177,2813,2654,3037,7765,6742,6186
ENSG00000235098.8,0,3,3,0,7,0,7,16,9
ENSG00000225905.1,0,0,0,0,0,0,0,0,0
ENSG00000179403.11,9,12,10,10,5,9,20,9,6
ENSG00000215915.9,0,0,4,0,0,0,0,8,0
ENSG00000221978.11,4955,5008,6689,4494,4670,4546,11090,9981,9395
ENSG00000224870.6,766,764,809,718,684,666,1559,1373,1249
ENSG00000242485.5,1693,1369,2069,1405,1233,1504,3605,2580,2772
ENSG00000264293.2,1,1,1,1,1,1,1,2,1
ENSG00000272455.1,113,71,120,100,115,104,187,119,139
ENSG00000284740.1,3,5,7,0,0,0,0,0,3
ENSG00000197785.13,1719,1286,1915,1534,1148,1561,4156,2999,3093
ENSG00000160072.19,1220,975,1655,1219,1075,1328,3145,2492,2471
ENSG00000228594.3,424,474,589,381,408,371,810,655,593
ENSG00000205090.8,23,35,28,53,30,51,68,62,49
ENSG00000160075.11,4086,3537,4919,3286,3157,3712,9288,7698,7388
ENSG00000215014.4,24,34,18,20,13,23,51,23,41
ENSG00000197530.12,1059,1180,1736,1153,1380,1315,1891,2304,1879
ENSG00000272106.1,267,331,383,159,195,152,562,527,473
ENSG00000189409.13,4,4,9,9,5,3,13,3,6
ENSG00000248333.8,1318,1249,1651,1153,1299,1329,2831,2637,2499
ENSG00000189339.11,2518,2815,2448,1700,2052,1629,3883,4070,3209
ENSG00000269737.2,0,0,2,0,0,4,0,2,2
ENSG00000215914.4,0,0,0,0,0,0,2,0,0
ENSG00000008128.22,377,495,557,399,408,530,944,1029,838
ENSG00000227775.3,6,8,0,2,0,0,5,11,0
ENSG00000272004.1,1,5,5,1,0,2,5,2,3
ENSG00000268575.1,622,499,680,333,598,497,1129,1172,1120
ENSG00000215790.6,415,437,450,285,305,304,585,569,509
ENSG00000169885.9,0,20,18,12,8,14,25,23,10
ENSG00000178821.12,103,108,145,77,73,92,127,96,108
ENSG00000226969.1,0,0,0,0,0,5,0,0,0
ENSG00000187730.8,27,42,48,19,8,12,51,37,35
ENSG00000233542.1,7,9,6,4,5,7,8,7,0
ENSG00000142609.17,18,9,35,8,20,18,16,9,13
ENSG00000008130.15,2136,1997,2355,1720,1725,1851,4930,4279,3915
ENSG00000078369.17,15304,15273,17473,13043,14483,14766,33017,29618,27021
ENSG00000231050.1,31,45,47,20,29,24,59,48,52
ENSG00000067606.16,1257,1361,1818,1043,1299,1329,2554,2732,2295
ENSG00000162585.16,2288,2237,3071,2197,2013,2453,4011,4169,3675
ENSG00000234396.3,0,0,0,0,0,0,0,0,0
ENSG00000271806.1,3,6,0,0,0,0,0,2,0
ENSG00000182873.5,131,125,147,106,86,110,186,173,175
ENSG00000157933.9,3234,2868,3237,2898,3056,2817,8231,6312,6148
ENSG00000149527.17,7,9,0,11,24,17,80,184,96
ENSG00000224387.1,0,0,0,0,0,0,0,0,0
ENSG00000229393.1,7,0,2,0,0,0,0,0,5
ENSG00000272449.1,41,69,51,37,53,52,106,134,97
ENSG00000228037.1,0,0,4,0,0,3,0,0,0
ENSG00000225931.3,6,0,6,3,0,9,8,3,6
ENSG00000157881.13,734,633,801,536,564,631,1775,1659,1611
ENSG00000238164.6,11,19,8,20,27,23,44,67,39
ENSG00000157873.17,326,419,557,331,462,509,1118,1177,1026
ENSG00000116151.13,509,575,524,386,478,447,974,1006,792
ENSG00000157911.9,794,855,816,675,772,854,1462,1331,1079
ENSG00000272161.1,2,4,2,2,3,3,1,3,4
ENSG00000269896.2,113,131,122,103,101,153,199,186,159
ENSG00000272420.1,7,2,0,2,5,7,7,4,5
ENSG00000157916.19,3989,3770,5008,3795,3835,3867,7679,6951,6126
ENSG00000177133.10,28,17,23,30,23,37,7,11,7
ENSG00000130762.14,175,256,243,177,184,215,958,1231,885
ENSG00000157870.14,2555,2037,3120,2020,1891,2558,4283,3672,3828
ENSG00000142606.15,1,2,3,0,0,1,1,3,6
ENSG00000237058.1,0,0,0,1,0,0,1,0,0
ENSG00000215912.12,105,96,79,47,44,63,113,129,85
ENSG00000283259.1,0,0,0,0,0,0,0,0,0
ENSG00000238260.1,13,14,16,6,18,11,7,10,9
ENSG00000162591.15,281,257,192,339,301,244,578,586,325
ENSG00000207776.1,0,0,0,0,0,0,0,0,0
ENSG00000142611.16,160,98,102,131,161,115,67,105,61
ENSG00000283572.1,0,0,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0,0,0,0
ENSG00000279839.1,2,2,0,3,0,0,0,0,0
ENSG00000272235.1,32,26,70,32,50,56,33,31,27
ENSG00000158109.14,830,832,1212,859,1051,1051,1480,1509,1341
ENSG00000235169.7,23,38,27,36,28,11,25,23,16
ENSG00000130764.9,1629,1659,1948,1368,1487,1498,2575,2217,2039
ENSG00000266075.2,6,8,3,0,0,0,3,2,1
ENSG00000272153.1,12,17,11,5,7,9,5,7,9
ENSG00000116213.15,1208,1095,1626,979,923,1126,1709,1569,1393
ENSG00000078900.14,1214,822,1177,857,690,812,1642,1148,1067
ENSG00000227589.1,0,0,0,0,0,0,0,0,0
ENSG00000235131.1,0,0,0,0,0,0,0,0,0
ENSG00000227372.11,9,4,8,4,8,10,1196,1233,1081
ENSG00000276189.1,0,0,0,0,0,0,0,0,0
ENSG00000162592.9,0,0,0,0,0,0,0,0,0
ENSG00000116198.12,992,1096,1177,806,1051,978,1713,1792,1470
ENSG00000169598.15,304,255,377,204,220,269,351,388,316
ENSG00000233304.6,0,2,0,0,0,0,0,0,0
ENSG00000226374.2,6,8,0,0,4,0,18,21,13
ENSG00000198912.10,1555,1365,2027,1296,1364,1527,2083,1905,1628
ENSG00000236423.5,113,102,129,118,113,82,155,249,183
